Kiribati,KIR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,11.18587,11.98812,,,,,,,,,,,
"Korea, Dem. Peoples Rep.",PRK,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
"Korea, Rep.",KOR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,4.3331,,,,
Kosovo,XKX,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
Kuwait,KWT,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,6.58583,6.55111,,,,,,,,,,
Kyrgyz Republic,KGZ,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.50839,3.85418,4.44546,6.79062,7.38423,6.7802,5.5316,5.98551,6.58615,6.02619,,,
Lao PDR,LAO,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,1.50369,1.99028,2.82522,1.70802,1.82147,3.23381,2.93781,,,,,,
Late-demographic dividend,LTE,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
Latin America & Caribbean,LCN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.862375021,4.178149939,4.017340183,4.726890087,5.064234972,5.220625162,5.325860023,,,,,,
Latin America & Caribbean (excluding high income),LAC,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.134109974,4.339370012,4.104490042,4.966430187,5.064234972,5.220625162,5.325860023,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
Latvia,LVA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.29065,5.46503,5.61846,4.93298,6.5825,6.9804,5.2749,5.31413,4.71299,4.39712,,,
Least developed countries: UN classification,LDC,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.888689995,3.241340041,2.97813499,3.245000005,3.479490042,3.282799959,,,,,,,
Lebanon,LBN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,2.84148,2.55271,1.65252,2.14809,2.43245,,,,,,,
Lending category not classified,LNX,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
Lesotho,LSO,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,10.09155,9.36505,10.10045,,,,,,,7.96332,6.98519,,
Liberia,LBR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,1.77712,1.73466,2.2791,,,2.76128,2.58412,,
Libya,LBY,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
Liechtenstein,LIE,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,2.55604,,,,,,,,,
Lithuania,LTU,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,5.84038,5.79253,5.12709,4.76923,4.6095,4.49106,4.22989,4.00394,3.81283,,,
Low & middle income,LMY,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.508369923,3.684484959,3.394880056,3.930124998,4.101180077,4.364099979,,,,,,,
Low income,LIC,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.971560001,3.272500038,,3.798424959,4.053530216,3.474649906,3.993020058,,,,,,
Lower middle income,LMC,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.134629965,3.761435032,3.131850004,3.839720011,3.942765117,3.844670057,,,,,,,
Luxembourg,LUX,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,3.5558,,,4.09041,,4.00789,3.9182,,3.56959,,,
"Macao SAR, China",MAC,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.34087,2.73402,2.862,2.68519,3.33736,2.04986,2.03206,2.9817,3.07791,2.68989,2.7387,,
Madagascar,MDG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.43869,2.7072,2.23179,2.38168,2.34067,1.77694,2.38123,2.21012,2.68719,,2.82549,,
Malawi,MWI,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.24797,4.50898,,4.15262,,5.41617,4.83984,5.60866,4.74857,4.03133,4.71484,,
Malaysia,MYS,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.97161,7.48447,7.65793,5.76294,5.73903,5.4812,5.21264,4.89487,4.75191,4.67757,4.48126,4.16319,
Maldives,MDV,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,5.79186,3.5066,3.76038,3.80012,3.47046,4.36655,4.09971,,,,
Mali,MLI,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.97156,2.65845,2.89623,3.75423,3.47949,3.28465,3.64807,3.8015,3.09609,3.78731,,,
Malta,MLT,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,4.14626,7.79612,6.52243,7.87614,7.20495,5.21635,5.20754,4.82438,,,
Marshall Islands,MHL,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,8.20898,,,,,,,,,,
Mauritania,MRT,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,2.10684,2.27715,2.33102,2.15821,2.29354,,,1.94406,,,1.89546,
Mauritius,MUS,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.76911,3.11486,3.0609,3.33207,3.4182,3.61579,4.91695,4.88667,5.0136,5.02313,4.83459,4.71935,
Mayotte,MYT,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
Mexico,MEX,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.99244,4.24104,4.45496,5.10565,5.1031,4.69605,5.26062,5.23524,4.90949,4.52282,,,
"Micronesia, Fed. Sts.",FSM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,6.70687,,,,,,,12.40792,,,,,
Middle East & North Africa,MEA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,6.20182991,,,,,,,,,,,
Middle East & North Africa (excluding high income),MNA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
Middle income,MIC,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.821174979,3.849435091,3.810859919,4.147749901,4.402155161,4.475830078,,,,,,,
Moldova,MDA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.48639,4.84685,5.49791,7.13638,6.98339,,6.26602,,5.60845,5.61844,5.43973,,
Monaco,MCO,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,1.25536,,,1.58989,1.78004,1.3344,1.02195,,1.37093,1.45793,,,
Mongolia,MNG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.55037,,7.21078,4.60903,5.19521,4.94077,4.71485,4.17699,5.18061,4.08859,,,
Montenegro,MNE,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
Morocco,MAR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
Mozambique,MOZ,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,5.67216,6.11533,,,5.86504,5.50556,5.49985,,
